Warrant Market - Weekly,,,,,,,,,,,,
XAO 4925.9 at 16:34 1/4/2010  Report at 17:15 Thursday 1/4/2010. Processed 18:17 Thursday 1/4/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code,Ex Price,Expiry Date,Conv Ratio,Bid,Ask,Last Sale,Chg +/-,Weekly Volume,,,,
Equity Call Warrants ,,,,,,,,,,,,
Asciano Grp Last Sale Price $1.86,,,,,,,,,,,,
OSHIOG,4.75,24/03/11,1:1,2,2.02,2.01,-,30,,,,
OSHIZZ,3.20,03/06/11,1:1,3.28,3.33,3.31,50,10,,,,
OSHIOO,4.00,15/12/11,1:1,2.84,2.86,2.49,-,-,,,,
OSHSMZ,3.11,28/06/13,1:1,2.94,-,2.62,-,-,,,,
OSHSZX,2.76,04/02/19,1:1,3.2,3.25,2.92,-,-,,,,
OneSteel Ltd Last Sale Price $3.96,,,,,,,,,,,,
OSTIMC,1.25,19/05/10,1:1,2.75,2.79,2.43,-,-,,,,
OSTIOA,4.00,23/06/10,1:1,0.37,0.39,0.495,-,-,,,,
OSTIOO,2.00,15/12/11,1:1,2.35,2.37,2.34,5,60,,,,
OSTSMA,3.57,28/06/13,1:1,1.075,-,2.96,-,-,,,,
OSTSZD,3.40,28/06/18,1:1,1.68,-,-,-,-,,,,
OZ Minerals Last Sale Price $1.19,,,,,,,,,,,,
OZLIOA,2.04,23/06/10,1:1,0.01,0.03,0.029,-,-,,,,
OZLJMG,2.08,30/06/10,1:1,0.001,-,0.65,-,-,,,,
OZLJMH,2.68,30/06/10,1:1,0.001,-,0.73,-,-,,,,
OZLIMX,0.80,23/09/10,1:1,0.51,0.525,0.56,-,-,,,,
OZLIOV,1.00,23/09/10,1:1,0.325,0.345,0.295,-,-,,,,
OZLIOO,0.90,15/12/11,1:1,0.59,0.61,0.525,-,-,,,,
OZLIOI,1.25,15/12/11,1:1,0.44,0.46,-,-,-,,,,
OZLSOA,3.72,28/06/12,1:1,0.105,0.125,0.11,-,-,,,,
OZLSOB,1.58,27/06/13,1:1,0.355,0.375,0.285,-,-,,,,
OZLSMZ,2.32,28/06/13,1:1,0.16,-,0.205,-,-,,,,
OZLSZB,1.35,30/06/16,1:1,0.19,-,0.255,-,-,,,,
OZLSWB,1.70,30/06/16,1:1,0.365,-,0.76,-,-,,,,
CWN & Cmj Option Bsk ,,,,,,,,,,,,
PB1IYH,12.63,14/05/10,1:1,0.145,0.525,3.83,-,-,,,,
Pac Brands Last Sale Price $1.31,,,,,,,,,,,,
PBGIOA,1.25,23/06/10,1:1,0.165,0.185,0.17,-,-,,,,
PBGSMU,1.58,30/06/10,1:1,0.011,-,1.50,-,-,,,,
PBGSMV,1.07,30/06/11,1:1,0.32,-,0.36,-,-,,,,
PBGSMA,1.59,28/06/13,1:1,0.24,-,0.50,-,-,,,,
PBGSWB,0.96,30/06/16,1:1,0.91,-,0.85,-,-,,,,
Paladin Energy Last Sale Price $4.20,,,,,,,,,,,,
PDNIMD,2.75,19/05/10,1:1,1.52,1.55,1.97,-,-,,,,
PDNJMG,2.50,30/06/10,1:1,1.88,1.91,2.31,-,-,,,,
PDNJMH,3.50,30/06/10,1:1,1.14,1.165,0.82,-,-,,,,
PDNIOO,2.50,15/12/11,1:1,2.6,2.62,2.47,-,-,,,,
PDNIOI,4.00,15/12/11,1:1,2.01,2.03,-,-,-,,,,
Prime Infr Grp Last Sale Price $3.70,,,,,,,,,,,,
PIHJMG,12777.00,30/06/10,1:1,-,-,-,-,-,,,,
PIHJMH,17239.50,30/06/10,1:1,-,-,-,-,-,,,,
PIHSMW,18465.00,29/06/12,1:1,-,-,-,-,-,,,,
PIHSMA,11281.50,28/06/13,1:1,-,-,-,-,-,,,,
Perpetual Ltd Last Sale Price $35.32,,,,,,,,,,,,
PPTSMU,28.39,30/06/10,1:1,7.68,-,9.52,-,-,,,,
PPTJMG,31.90,30/06/10,1:1,5.47,-,-,-,-,,,,
PPTJMH,35.72,30/06/10,1:1,3.48,-,-,-,-,,,,
PPTSMV,42.04,30/06/11,1:1,5.03,-,4.49,-,-,,,,
PPTSMW,50.04,29/06/12,1:1,5.93,-,6.38,-,-,,,,
PPTSMX,46.29,30/06/16,1:1,12.7,-,13.86,-,-,,,,
PPTSMY,55.26,30/06/17,1:1,12.68,-,27.60,-,-,,,,
PPTSZX,18.57,04/02/19,1:1,16.72,16.77,16.97,-,-,,,,
Primary Health Care Last Sale Price $4.44,,,,,,,,,,,,
PRYSMA,3.50,28/06/13,1:1,1.18,-,2.15,-,-,,,,
PRYSZC,4.34,30/06/17,1:1,1.68,-,2.20,-,-,,,,
Platinum Asset Last Sale Price $5.21,,,,,,,,,,,,
PTMJMH,2.08,30/06/10,1:1,3.31,-,2.35,-,-,,,,
PTMJMG,3.27,30/06/10,1:1,2.14,-,2.22,-,-,,,,
PTMSMW,5.92,29/06/12,1:1,0.92,-,1.485,-,-,,,,
PTMSMA,2.39,28/06/13,1:1,2.92,-,1.635,-,-,,,,
PTMSZC,5.79,30/06/17,1:1,2.02,-,0.915,-,-,,,,
Qantas Airways Last Sale Price $2.84,,,,,,,,,,,,
QANIMC,1.00,19/05/10,1:1,1.88,1.9,2.03,-,-,,,,
QANIMD,1.50,19/05/10,1:1,1.385,1.405,1.385,-,-,,,,
QANIZQ,1.40,14/06/10,1:1,1.45,-,1.44,-,-,,,,
QANIOA,2.00,23/06/10,1:1,0.915,0.935,0.90,-,-,,,,
QANSSR,1.47,30/06/10,1:1,1.39,1.4,1.58,-,-,,,,
QANSMU,1.57,30/06/10,1:1,1.28,-,0.53,-,-,,,,
QANMMI,3.20,30/06/10,1:1,0.038,-,-,-,-,,,,
QANJMG,3.27,30/06/10,1:1,0.095,-,1.63,-,-,,,,
QANJMH,4.17,30/06/10,1:1,0.005,-,0.835,-,-,,,,
QANIMF,1.75,17/11/10,1:1,1.235,1.255,1.255,-1.5,150,,,,
QANIMG,2.25,17/11/10,1:1,0.825,0.845,0.86,-,-,,,,
QANIZR,1.50,03/06/11,1:1,1.57,1.595,1.68,-,-,,,,
QANIZZ,1.50,03/06/11,1:1,1.57,1.595,1.575,-2,525,,,,
QANIOD,1.25,17/06/11,1:1,1.765,1.785,1.84,-,-,,,,
QANSMV,2.15,30/06/11,1:1,0.76,-,0.815,-7.5,96,,,,
QANIOO,1.75,15/12/11,1:1,1.505,1.525,-,-,-,,,,
QANSMA,2.49,28/06/13,1:1,0.74,-,0.73,-,-,,,,
QANSOC,1.30,26/06/14,1:1,1.815,1.835,2.03,-,-,,,,
QANSSA,3.63,30/06/14,1:1,0.975,-,1.47,-,-,,,,
QANSZA,0.91,30/06/15,1:1,1.935,-,4.02,-,-,,,,
QANSSB,2.67,30/06/15,1:1,1.275,-,1.41,-,-,,,,
QANSZB,1.67,30/06/16,1:1,1.335,-,1.325,-,-,,,,
QANSWB,1.74,30/06/16,1:1,1.23,-,-,-,-,,,,
QANSMX,2.50,30/06/16,1:1,0.935,-,0.88,-,-,,,,
QANSZC,3.63,30/06/17,1:1,0.93,-,0.895,-,-,,,,
QANSZX,1.30,04/02/19,1:1,1.515,-,1.55,1,14000,,,,
QANSZV,1.57,04/02/19,1:1,1.25,-,1.27,-,-,,,,
QANSZW,1.87,04/02/19,1:1,0.955,-,1.00,-,-,,,,
QBE Insurance Grp Last Sale Price $21.01,,,,,,,,,,,,
