FR INV WARRANTS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Report at Friday, February 11, 2011. Processed Saturday at 2011-02-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Equity Call Warrants,
Asciano Grp Last Sale Price $1.71,
James Hardie Ind Last Sale Price $6.65,
JHXWMP,,6.00,24/03/11,1:1,.115,.135,.315,,,,
,
Macquarie Grp Last Sale Price $39.37,
MQGVZT,,38.00,24/02/11,5:1,.073,.082,.032,,,,
MQGWOZ,,32.00,24/03/11,6:1,.032,.037,,,,,
MQGWOY,,35.50,24/03/11,6:1,.10,.105,.14,,,,
MQGVZU,,36.00,24/03/11,5:1,.067,.076,.051,,,,
MQGWOX,,39.00,24/03/11,6:1,.275,.28,.26,,,,
MQGWOS,,37.00,26/05/11,6:1,.335,.34,,,,,
MQGWOQ,,40.00,26/05/11,6:1,.56,.565,,,,,
MQGWOP,,42.00,26/05/11,6:1,.75,.755,.74,,100,,
,
National Aust Bank Last Sale Price $25.69,
NABVZP,,23.00,24/02/11,4:1,.001,.04,,,,,
NABVOS,,20.00,24/03/11,4:1,.012,.017,,,,,
NABWMP,,22.00,24/03/11,4:1,.018,,.18,,,,
NABVOR,,23.00,24/03/11,4:1,.049,.054,,,,,
