Australian Sharemarket: Top 300 Stocks,,,,,,,,,,,,,,,,,,,,
Based on Market Capitalisation at close of trade Friday, April 10, 2015,,,,,,,,,,,,,,,,,,,,
"XAO 5935.4 at 2015-04-10T16:39:06. Report at Friday, April 10, 2015. Processed Saturday at 2015-04-11T23:15:03+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
This Week,Last Week,ASX Code,Company Name,Mkt Cap Bil,Last,Week Move c,Year High,Year Low,DPS c,Franking,Net Yield %,Gross Yield %,Div Growth %,EPS c,PE Ratio,Earn Growth %,Price to BV,Net Asset Back $,TSR 1 Year %,TSR 3 Year %
77,78,CGF,Challenger,4.102,7.20,+15,8.27,5.81,28.00,p,3.89,4.81,30.0,58.20,12.4,4.6,1.795,3.43,16.3,29.1,,
78,75,MYT,Mighty River Power,4.074,2.91,-9,3.49,1.965,12.82,,4.41,4.41,106.0,6.60,44.1,48.1,1.460,-,62.5,-,,
79,77,TAH,Tabcorp Hldgs,4.006,4.83,-2,4.955,3.106,18.00,f,3.73,5.32,-15.8,23.30,20.7,4.2,2.704,1.44,58.4,30.7,,
80,81,EGP,Echo Entertainment,3.889,4.71,+14,4.72,2.59,9.00,f,1.91,2.73,33.3,19.10,24.7,14.0,1.267,-,88.1,4.3,,
81,80,DUE,DUET Grp,3.824,2.56,+3,2.70,2.075,17.25,,6.74,6.74,3.0,3.23,79.3,3.9,2.110,1.37,32.5,21.3,,
82,82,FPH,Fisher & Paykel Hlth,3.783,6.78,+35,6.85,3.62,11.87,,1.75,1.75,14.5,17.16,39.5,47.4,9.432,.62,65.2,60.2,,
83,85,ILU,Iluka Res,3.685,8.80,+49,9.84,5.57,19.00,f,2.16,3.08,111.1,-15.00,-,-53.4,2.148,3.38,-23.8,-23.7,,
84,83,SOL,Soul Pattinson WH,3.682,15.38,+43,15.42,12.18,49.00,f,3.19,4.55,4.3,52.36,29.4,-34.5,.904,12.44,-3.5,5.1,,
85,86,TWE,Treasury Wine,3.673,5.64,+34,5.65,3.67,13.00,,2.30,2.30,-,-25.40,-,28.7,1.202,3.39,53.2,11.7,,
86,84,REH,Reece Aust,3.366,33.80,-120,35.00,29.19,66.00,f,1.95,2.79,3.2,145.00,23.3,3.3,4.185,6.29,18.1,25.6,,
87,87,MFG,Magellan Fin Grp,3.358,21.00,+90,21.04,10.55,58.90,f,2.80,4.01,78.1,78.50,26.8,67.9,15.477,1.62,51.1,132.1,,
88,88,DMP,Domino's Pizza,3.224,37.25,+25,37.715,18.55,43.60,f,1.17,1.67,21.8,62.70,59.4,28.1,12.077,-.01,83.6,66.2,,
89,89,XRO,Xero,3.210,23.60,+12,30.95,13.76,-,,-,-,-,-32.15,-,157.2,13.484,1.33,-35.7,-,,
90,91,IFL,IOOF Hldgs,3.154,10.51,+18,10.73,8.01,50.00,f,4.76,6.80,13.1,46.40,22.7,12.6,3.801,-.21,22.7,27.8,,
